Simbad默认名,Vmag
* 54 Psc B,
* 54 Psc b,
* 55 Psc,5.428
HD 9407,
* 51 Ari,6.62
HD 52711,
HD 71148,
HD 89269,
* 83 Leo A,6.46
* 83 Leo B,7.53
HD 104304,5.55
HD 105631 ,
HD 114783,7.55
HD 117043,
HD 126053,6.27
HD 127334,
HD 136923,7.123
HD 154345,
HD 157347,6.278
HD 158259,6.47
HD 159222,6.56
* mu.01 Her,3.42
HD164922,
HD 168009,6.298
HD 182488,
* 16 Cyg A,5.95
* 16 Cyg B,6.2
HD 190404,7.27
*15Sge,5.788
HD191785,7.323
HD197076,6.44
*  11 Aqr,6.192
HD 210277,8.57
* 51 Peg,5.46
* 51 Peg b,
HD 218868,
HD 221354,
HD 172051,5.85
* 94 Aqr B,5.2
HD 179957,6.75
HD 68017,6.78
HD 217107,6.18
HD  51419,6.94
HD 196761,6.36
HD 24496,6.81
HD 116442,7.06
HD 187923,6.16
HD 124292,7.05
HD 185414,6.73
* 49 ser B,7.5
HD 12846,6.89
HD 149806,7.1
HD 170657,6.81
HD 39881,6.6
HD 176377,6.8
HD 33021,6.15
HD30708,6.79
HD43947,6.62
HD1461,6.46
HD221356,6.5
HD 56303,7.33
HD1326,8.14
HD 12051,7.14
HD58781,7.24
HD44985,7.01
HD 92719,6.767
HD135101,6.69
HD37008,7.74
HD34575,7.09
HD71479,7.17
HD116443,7.35
HD151541,7.56
HD132142,7.77
HD42250,7.43
HD98281,7.29
HD144585,6.32
* 49 Ser A,7.43
HD125455,7.58
HD9562,5.75
HD62613,6.55
HD130992,7.81
HD180161,7.04
HD4915,6.98
HD220339,7.8
HD224619,7.47
HD28005,6.72
HD216520,7.53
11 LMi,5.340 
41 Ara,5.48 
85 Peg,5.75
alf CMi,0.37
HD 142107,9.16
chi Dra,3.58
* chi01 Ori,4.4
eta Cas,3.44
eta Cas B,7.51
gam Vir,2.74
gam Vir B,3.49
i Boo A,5.136
* i Boo B,6.004
*  iot Peg,3.77
* kap01 Cet,4.85
* ksi Boo A,4.675
* ksi Boo B,6.816
* ksi UMa A,4.25
* ksi UMa B,4.77
* mu. Cas,5.17
* omi02 Eri,4.43
* p Eri A,5.685
* p Eri B,5.797
* pi.03 Ori,3.19
tet Per,4.11
zet TrA,4.899
zet01 Ret,5.54
zet02 Ret,5.228
HD 101581,7.762
HD 13445,6.117
HD 147513,5.376
HD 154363,7.709
HD 156384,5.89
HD 157881,7.56
HD 17925,6.05
HD 21531,8.367
HD 217357,7.869
HD 222237,7.087
HD 32450,8.317
HD 36003,7.642
HD 37394,6.23
HD 38A,8.826
HD 40307,7.147
HD 69830,5.95
HD 82106,7.197
HD 85512,7.651
V* AK Lep,6.15
V* TW PsA,6.48
V* V2215 Oph,6.34
V* V2689 Ori,8.898
bet Vir,3.6
mu. Ara,5.15
HD 191408,5.32
HD 192310,5.723
HD 219482,5.647
